datetime,temp_C,humidity_%,windspeed_kph,precip_mm
2025-04-19 11:00:00,32.8,49.67,19.7,0.0
2025-04-19 12:00:00,35.0,41.52,18.4,0.0
2025-04-19 13:00:00,35.0,41.52,16.6,0.0
2025-04-19 14:00:00,35.6,39.91,19.7,0.0
2025-04-19 15:00:00,36.0,32.56,27.7,0.0
2025-04-19 16:00:00,36.0,26.86,27.7,0.0
2025-04-19 17:00:00,35.0,22.56,24.0,0.0
2025-04-19 18:00:00,34.0,23.06,24.1,0.0
2025-04-19 19:00:00,32.0,25.81,18.4,0.0
2025-04-19 20:00:00,31.0,34.9,14.8,0.0
2025-04-19 21:00:00,30.0,48.6,18.4,0.0
2025-04-19 22:00:00,29.0,48.34,11.2,0.0
2025-04-19 23:00:00,29.0,51.84,11.2,0.0
2025-04-20 00:00:00,28.0,58.1,14.8,0.0
2025-04-20 01:00:00,28.0,58.1,14.8,0.0
2025-04-20 02:00:00,27.6,59.95,8.6,0.0
2025-04-20 03:00:00,27.0,61.6,13.0,0.0
2025-04-20 04:00:00,27.0,57.86,9.4,0.0
2025-04-20 05:00:00,26.4,63.17,4.7,0.0
2025-04-20 06:00:00,26.0,61.38,5.4,0.0
2025-04-20 07:00:00,26.0,65.35,7.6,0.0
2025-04-20 08:00:00,28.6,56.93,3.3,0.0
2025-04-20 09:00:00,31.0,33.31,7.6,0.0
2025-04-20 10:00:00,34.0,16.39,11.2,0.0
2025-04-20 11:00:00,36.2,13.57,13.3,0.0
2025-04-20 12:00:00,38.0,9.91,13.0,0.0
2025-04-20 13:00:00,39.0,7.54,9.4,0.0
2025-04-20 14:00:00,40.0,7.15,15.5,0.0
2025-04-20 15:00:00,40.0,7.15,20.5,0.0
2025-04-20 16:00:00,40.0,7.15,24.1,0.0
2025-04-20 17:00:00,36.8,13.12,23.4,0.0
2025-04-20 18:00:00,37.0,12.07,18.4,0.0
2025-04-20 19:00:00,34.0,18.82,20.5,0.0
2025-04-20 20:00:00,30.8,34.14,18.4,0.0
